mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
BAC009S0516W0121_BAC009S0519W0227,S0516,F,S0519,F
BAC009S0167W0213_BAC009S0086W0306,S0167,F,S0086,M
BAC009S0230W0477_BAC009S0666W0369,S0230,F,S0666,F
BAC009S0120W0200_BAC009S0109W0316,S0120,M,S0109,M
BAC009S0230W0171_BAC009S0351W0283,S0230,F,S0351,F
BAC009S0707W0450_BAC009S0083W0493,S0707,M,S0083,M
BAC009S0085W0169_BAC009S0013W0484,S0085,M,S0013,M
BAC009S0241W0324_BAC009S0132W0443,S0241,F,S0132,F
BAC009S0002W0467_BAC009S0048W0454,S0002,M,S0048,M
BAC009S0599W0129_BAC009S0181W0466,S0599,M,S0181,F
BAC009S0512W0470_BAC009S0103W0429,S0512,F,S0103,M
BAC009S0103W0354_BAC009S0097W0351,S0103,M,S0097,M
BAC009S0357W0316_BAC009S0120W0388,S0357,F,S0120,M
BAC009S0090W0292_BAC009S0356W0480,S0090,M,S0356,F
BAC009S0599W0258_BAC009S0192W0168,S0599,M,S0192,F
BAC009S0233W0221_BAC009S0130W0355,S0233,F,S0130,F
BAC009S0662W0237_BAC009S0073W0337,S0662,F,S0073,M
BAC009S0722W0390_BAC009S0517W0147,S0722,M,S0517,F
BAC009S0206W0332_BAC009S0722W0286,S0206,F,S0722,M
BAC009S0721W0168_BAC009S0074W0367,S0721,M,S0074,M
BAC009S0363W0326_BAC009S0220W0256,S0363,F,S0220,F
BAC009S0663W0380_BAC009S0028W0432,S0663,F,S0028,M
BAC009S0361W0207_BAC009S0235W0170,S0361,F,S0235,F
BAC009S0035W0308_BAC009S0704W0242,S0035,M,S0704,M
BAC009S0601W0455_BAC009S0335W0409,S0601,M,S0335,F
BAC009S0187W0159_BAC009S0065W0196,S0187,F,S0065,M
BAC009S0715W0283_BAC009S0236W0201,S0715,M,S0236,F
BAC009S0349W0250_BAC009S0421W0367,S0349,F,S0421,M
BAC009S0340W0348_BAC009S0356W0382,S0340,F,S0356,F
BAC009S0067W0161_BAC009S0717W0207,S0067,M,S0717,M
BAC009S0216W0199_BAC009S0116W0168,S0216,F,S0116,M
BAC009S0238W0247_BAC009S0120W0267,S0238,F,S0120,M
BAC009S0510W0433_BAC009S0601W0206,S0510,F,S0601,M
BAC009S0176W0200_BAC009S0088W0451,S0176,F,S0088,M
BAC009S0201W0473_BAC009S0130W0346,S0201,F,S0130,F
BAC009S0360W0375_BAC009S0665W0230,S0360,F,S0665,F
BAC009S0211W0129_BAC009S0661W0483,S0211,F,S0661,F
BAC009S0021W0331_BAC009S0350W0227,S0021,M,S0350,F
BAC009S0173W0237_BAC009S0139W0418,S0173,F,S0139,F
BAC009S0192W0493_BAC009S0159W0422,S0192,F,S0159,F
BAC009S0658W0253_BAC009S0664W0156,S0658,F,S0664,F
BAC009S0252W0158_BAC009S0142W0211,S0252,M,S0142,F
BAC009S0185W0326_BAC009S0060W0435,S0185,F,S0060,M
BAC009S0132W0243_BAC009S0077W0147,S0132,F,S0077,M
BAC009S0191W0290_BAC009S0222W0486,S0191,F,S0222,F
BAC009S0098W0296_BAC009S0113W0129,S0098,M,S0113,M
BAC009S0600W0398_BAC009S0511W0187,S0600,M,S0511,F
BAC009S0088W0322_BAC009S0171W0377,S0088,M,S0171,F
BAC009S0192W0262_BAC009S0344W0302,S0192,F,S0344,F
BAC009S0716W0148_BAC009S0055W0313,S0716,M,S0055,M
BAC009S0017W0434_BAC009S0656W0431,S0017,M,S0656,F
BAC009S0348W0270_BAC009S0421W0453,S0348,F,S0421,M
BAC009S0335W0404_BAC009S0197W0410,S0335,F,S0197,F
BAC009S0014W0269_BAC009S0657W0367,S0014,M,S0657,F
BAC009S0152W0403_BAC009S0116W0486,S0152,F,S0116,M
BAC009S0222W0415_BAC009S0133W0342,S0222,F,S0133,F
BAC009S0719W0174_BAC009S0159W0451,S0719,M,S0159,F
BAC009S0157W0350_BAC009S0147W0495,S0157,F,S0147,F
BAC009S0110W0419_BAC009S0346W0123,S0110,M,S0346,F
BAC009S0251W0153_BAC009S0202W0215,S0251,M,S0202,F
BAC009S0714W0358_BAC009S0181W0439,S0714,M,S0181,F
BAC009S0216W0456_BAC009S0703W0444,S0216,F,S0703,M
BAC009S0423W0479_BAC009S0192W0281,S0423,M,S0192,F
BAC009S0722W0467_BAC009S0111W0238,S0722,M,S0111,M
BAC009S0200W0391_BAC009S0181W0452,S0200,F,S0181,F
BAC009S0122W0374_BAC009S0195W0238,S0122,M,S0195,F
BAC009S0113W0211_BAC009S0014W0322,S0113,M,S0014,M
BAC009S0599W0286_BAC009S0165W0267,S0599,M,S0165,F
BAC009S0664W0206_BAC009S0511W0191,S0664,F,S0511,F
BAC009S0192W0181_BAC009S0003W0477,S0192,F,S0003,M
BAC009S0151W0162_BAC009S0241W0444,S0151,F,S0241,F
BAC009S0133W0314_BAC009S0053W0193,S0133,F,S0053,M
BAC009S0142W0457_BAC009S0011W0316,S0142,F,S0011,M
BAC009S0062W0228_BAC009S0035W0174,S0062,M,S0035,M
BAC009S0234W0365_BAC009S0142W0454,S0234,F,S0142,F
BAC009S0117W0175_BAC009S0521W0395,S0117,M,S0521,F
BAC009S0203W0431_BAC009S0126W0187,S0203,F,S0126,F
BAC009S0188W0223_BAC009S0106W0304,S0188,F,S0106,M
BAC009S0129W0228_BAC009S0599W0287,S0129,F,S0599,M
BAC009S0038W0493_BAC009S0166W0171,S0038,M,S0166,F
BAC009S0335W0134_BAC009S0353W0197,S0335,F,S0353,F
BAC009S0044W0123_BAC009S0666W0469,S0044,M,S0666,F
BAC009S0125W0275_BAC009S0244W0155,S0125,F,S0244,F
BAC009S0014W0266_BAC009S0239W0163,S0014,M,S0239,F
BAC009S0087W0303_BAC009S0010W0451,S0087,M,S0010,M
BAC009S0079W0242_BAC009S0225W0389,S0079,M,S0225,F
BAC009S0024W0393_BAC009S0118W0219,S0024,M,S0118,M
BAC009S0099W0449_BAC009S0186W0440,S0099,M,S0186,F
BAC009S0228W0399_BAC009S0337W0449,S0228,F,S0337,F
BAC009S0217W0262_BAC009S0049W0211,S0217,F,S0049,M
BAC009S0011W0166_BAC009S0139W0340,S0011,M,S0139,F
BAC009S0704W0328_BAC009S0147W0228,S0704,M,S0147,F
BAC009S0713W0373_BAC009S0714W0215,S0713,M,S0714,M
BAC009S0149W0292_BAC009S0717W0306,S0149,F,S0717,M
BAC009S0719W0443_BAC009S0136W0467,S0719,M,S0136,F
BAC009S0237W0195_BAC009S0719W0161,S0237,F,S0719,M
BAC009S0219W0124_BAC009S0713W0473,S0219,F,S0713,M
BAC009S0108W0491_BAC009S0020W0441,S0108,M,S0020,M
BAC009S0666W0346_BAC009S0708W0122,S0666,F,S0708,M
BAC009S0708W0169_BAC009S0704W0166,S0708,M,S0704,M
BAC009S0707W0208_BAC009S0518W0266,S0707,M,S0518,F
BAC009S0167W0301_BAC009S0180W0288,S0167,F,S0180,F
BAC009S0094W0353_BAC009S0211W0417,S0094,M,S0211,F
BAC009S0113W0409_BAC009S0355W0461,S0113,M,S0355,F
BAC009S0064W0265_BAC009S0211W0146,S0064,M,S0211,F
BAC009S0013W0327_BAC009S0191W0195,S0013,M,S0191,F
BAC009S0244W0294_BAC009S0106W0443,S0244,F,S0106,M
BAC009S0065W0169_BAC009S0109W0206,S0065,M,S0109,M
BAC009S0515W0135_BAC009S0028W0314,S0515,F,S0028,M
BAC009S0147W0212_BAC009S0227W0257,S0147,F,S0227,F
BAC009S0362W0452_BAC009S0194W0323,S0362,F,S0194,F
BAC009S0176W0367_BAC009S0336W0471,S0176,F,S0336,F
BAC009S0666W0144_BAC009S0174W0139,S0666,F,S0174,F
BAC009S0142W0344_BAC009S0117W0320,S0142,F,S0117,M
BAC009S0241W0149_BAC009S0114W0456,S0241,F,S0114,M
BAC009S0111W0261_BAC009S0122W0400,S0111,M,S0122,M
BAC009S0023W0177_BAC009S0030W0208,S0023,M,S0030,M
BAC009S0703W0399_BAC009S0190W0222,S0703,M,S0190,F
BAC009S0600W0430_BAC009S0192W0391,S0600,M,S0192,F
BAC009S0103W0248_BAC009S0252W0478,S0103,M,S0252,M
BAC009S0044W0157_BAC009S0192W0228,S0044,M,S0192,F
BAC009S0184W0147_BAC009S0095W0315,S0184,F,S0095,M
BAC009S0089W0353_BAC009S0146W0227,S0089,M,S0146,F
BAC009S0214W0460_BAC009S0661W0319,S0214,F,S0661,F
BAC009S0250W0223_BAC009S0095W0306,S0250,M,S0095,M
BAC009S0222W0397_BAC009S0343W0413,S0222,F,S0343,F
BAC009S0111W0133_BAC009S0046W0250,S0111,M,S0046,M
BAC009S0143W0350_BAC009S0170W0160,S0143,F,S0170,F
BAC009S0007W0231_BAC009S0101W0288,S0007,M,S0101,M
BAC009S0137W0332_BAC009S0352W0184,S0137,F,S0352,F
BAC009S0148W0250_BAC009S0143W0253,S0148,F,S0143,F
BAC009S0145W0322_BAC009S0339W0433,S0145,F,S0339,F
BAC009S0664W0235_BAC009S0043W0174,S0664,F,S0043,M
BAC009S0179W0247_BAC009S0065W0423,S0179,F,S0065,M
BAC009S0119W0446_BAC009S0182W0373,S0119,M,S0182,F
BAC009S0176W0131_BAC009S0077W0194,S0176,F,S0077,M
BAC009S0116W0228_BAC009S0122W0486,S0116,M,S0122,M
BAC009S0025W0216_BAC009S0359W0392,S0025,M,S0359,F
BAC009S0201W0188_BAC009S0177W0195,S0201,F,S0177,F
BAC009S0230W0141_BAC009S0152W0402,S0230,F,S0152,F
BAC009S0232W0404_BAC009S0201W0181,S0232,F,S0201,F
BAC009S0071W0178_BAC009S0348W0141,S0071,M,S0348,F
BAC009S0151W0320_BAC009S0006W0425,S0151,F,S0006,M
BAC009S0161W0201_BAC009S0034W0443,S0161,F,S0034,M
BAC009S0148W0216_BAC009S0091W0348,S0148,F,S0091,M
BAC009S0657W0340_BAC009S0334W0238,S0657,F,S0334,F
BAC009S0187W0353_BAC009S0093W0372,S0187,F,S0093,M
BAC009S0145W0328_BAC009S0120W0176,S0145,F,S0120,M
BAC009S0152W0287_BAC009S0169W0423,S0152,F,S0169,F
BAC009S0657W0259_BAC009S0163W0296,S0657,F,S0163,F
BAC009S0423W0380_BAC009S0187W0303,S0423,M,S0187,F
BAC009S0706W0126_BAC009S0662W0264,S0706,M,S0662,F
BAC009S0189W0376_BAC009S0034W0310,S0189,F,S0034,M
BAC009S0130W0236_BAC009S0234W0286,S0130,F,S0234,F
BAC009S0227W0452_BAC009S0114W0183,S0227,F,S0114,M
BAC009S0069W0298_BAC009S0024W0296,S0069,M,S0024,M
BAC009S0117W0427_BAC009S0252W0275,S0117,M,S0252,M
BAC009S0077W0173_BAC009S0178W0219,S0077,M,S0178,F
BAC009S0168W0433_BAC009S0512W0312,S0168,F,S0512,F
BAC009S0248W0241_BAC009S0034W0476,S0248,M,S0034,M
BAC009S0118W0401_BAC009S0152W0154,S0118,M,S0152,F
BAC009S0023W0297_BAC009S0359W0326,S0023,M,S0359,F
BAC009S0344W0259_BAC009S0040W0148,S0344,F,S0040,M
BAC009S0704W0158_BAC009S0010W0233,S0704,M,S0010,M
BAC009S0106W0468_BAC009S0095W0487,S0106,M,S0095,M
BAC009S0099W0457_BAC009S0186W0208,S0099,M,S0186,F
BAC009S0601W0329_BAC009S0022W0194,S0601,M,S0022,M
BAC009S0081W0381_BAC009S0708W0393,S0081,M,S0708,M
BAC009S0019W0123_BAC009S0110W0162,S0019,M,S0110,M
BAC009S0721W0226_BAC009S0243W0136,S0721,M,S0243,F
BAC009S0707W0475_BAC009S0033W0228,S0707,M,S0033,M
BAC009S0203W0142_BAC009S0029W0127,S0203,F,S0029,M
BAC009S0128W0238_BAC009S0601W0367,S0128,F,S0601,M
BAC009S0659W0432_BAC009S0096W0356,S0659,F,S0096,M
BAC009S0193W0146_BAC009S0335W0227,S0193,F,S0335,F
BAC009S0240W0415_BAC009S0514W0127,S0240,F,S0514,F
BAC009S0148W0303_BAC009S0719W0487,S0148,F,S0719,M
BAC009S0078W0466_BAC009S0070W0208,S0078,M,S0070,M
BAC009S0335W0141_BAC009S0210W0356,S0335,F,S0210,F
BAC009S0157W0200_BAC009S0353W0134,S0157,F,S0353,F
BAC009S0155W0229_BAC009S0062W0467,S0155,F,S0062,M
BAC009S0049W0447_BAC009S0064W0445,S0049,M,S0064,M
BAC009S0221W0362_BAC009S0128W0403,S0221,F,S0128,F
BAC009S0014W0379_BAC009S0212W0378,S0014,M,S0212,F
BAC009S0202W0466_BAC009S0343W0175,S0202,F,S0343,F
BAC009S0011W0288_BAC009S0222W0347,S0011,M,S0222,F
BAC009S0246W0280_BAC009S0356W0212,S0246,M,S0356,F
BAC009S0161W0367_BAC009S0355W0132,S0161,F,S0355,F
BAC009S0055W0386_BAC009S0665W0250,S0055,M,S0665,F
BAC009S0166W0489_BAC009S0039W0472,S0166,F,S0039,M
BAC009S0334W0226_BAC009S0096W0121,S0334,F,S0096,M
BAC009S0049W0470_BAC009S0423W0367,S0049,M,S0423,M
BAC009S0069W0190_BAC009S0086W0492,S0069,M,S0086,M
BAC009S0065W0321_BAC009S0090W0474,S0065,M,S0090,M
BAC009S0029W0147_BAC009S0143W0345,S0029,M,S0143,F
BAC009S0154W0274_BAC009S0057W0138,S0154,F,S0057,M
BAC009S0183W0164_BAC009S0138W0253,S0183,F,S0138,F
BAC009S0212W0315_BAC009S0720W0263,S0212,F,S0720,M
BAC009S0186W0413_BAC009S0359W0371,S0186,F,S0359,F
BAC009S0145W0178_BAC009S0051W0328,S0145,F,S0051,M
BAC009S0084W0306_BAC009S0214W0128,S0084,M,S0214,F
BAC009S0190W0335_BAC009S0718W0416,S0190,F,S0718,M
BAC009S0707W0474_BAC009S0160W0239,S0707,M,S0160,F
BAC009S0207W0342_BAC009S0004W0146,S0207,F,S0004,M
BAC009S0701W0202_BAC009S0018W0469,S0701,M,S0018,M
BAC009S0070W0414_BAC009S0250W0346,S0070,M,S0250,M
BAC009S0666W0330_BAC009S0053W0441,S0666,F,S0053,M
BAC009S0663W0368_BAC009S0116W0311,S0663,F,S0116,M
BAC009S0102W0471_BAC009S0203W0445,S0102,M,S0203,F
BAC009S0123W0194_BAC009S0237W0348,S0123,M,S0237,F
BAC009S0665W0361_BAC009S0715W0253,S0665,F,S0715,M
BAC009S0053W0332_BAC009S0082W0129,S0053,M,S0082,M
BAC009S0005W0222_BAC009S0042W0340,S0005,M,S0042,M
BAC009S0088W0166_BAC009S0347W0265,S0088,M,S0347,F
BAC009S0182W0391_BAC009S0201W0480,S0182,F,S0201,F
BAC009S0104W0377_BAC009S0054W0206,S0104,M,S0054,M
BAC009S0112W0283_BAC009S0517W0368,S0112,M,S0517,F
BAC009S0052W0424_BAC009S0008W0317,S0052,M,S0008,M
BAC009S0338W0396_BAC009S0003W0255,S0338,F,S0003,M
BAC009S0103W0352_BAC009S0353W0279,S0103,M,S0353,F
BAC009S0356W0481_BAC009S0026W0308,S0356,F,S0026,M
BAC009S0211W0459_BAC009S0216W0203,S0211,F,S0216,F
BAC009S0059W0250_BAC009S0062W0440,S0059,M,S0062,M
BAC009S0517W0349_BAC009S0082W0406,S0517,F,S0082,M
BAC009S0122W0481_BAC009S0102W0300,S0122,M,S0102,M
BAC009S0235W0439_BAC009S0223W0204,S0235,F,S0223,F
BAC009S0349W0438_BAC009S0111W0348,S0349,F,S0111,M
BAC009S0173W0370_BAC009S0051W0169,S0173,F,S0051,M
BAC009S0084W0483_BAC009S0187W0321,S0084,M,S0187,F
BAC009S0133W0125_BAC009S0153W0151,S0133,F,S0153,F
BAC009S0090W0219_BAC009S0092W0341,S0090,M,S0092,M
BAC009S0703W0310_BAC009S0116W0435,S0703,M,S0116,M
BAC009S0173W0288_BAC009S0717W0144,S0173,F,S0717,M
BAC009S0176W0477_BAC009S0078W0479,S0176,F,S0078,M
BAC009S0246W0256_BAC009S0083W0452,S0246,M,S0083,M
BAC009S0130W0376_BAC009S0118W0207,S0130,F,S0118,M
BAC009S0599W0197_BAC009S0063W0382,S0599,M,S0063,M
BAC009S0047W0242_BAC009S0096W0376,S0047,M,S0096,M
BAC009S0045W0225_BAC009S0107W0471,S0045,M,S0107,M
BAC009S0138W0344_BAC009S0091W0167,S0138,F,S0091,M
BAC009S0352W0451_BAC009S0159W0287,S0352,F,S0159,F
BAC009S0059W0138_BAC009S0068W0403,S0059,M,S0068,M
BAC009S0217W0141_BAC009S0348W0257,S0217,F,S0348,F
BAC009S0721W0213_BAC009S0704W0258,S0721,M,S0704,M
BAC009S0202W0392_BAC009S0046W0182,S0202,F,S0046,M
BAC009S0721W0184_BAC009S0715W0295,S0721,M,S0715,M
BAC009S0361W0400_BAC009S0180W0460,S0361,F,S0180,F
BAC009S0656W0127_BAC009S0660W0255,S0656,F,S0660,F
BAC009S0083W0382_BAC009S0157W0492,S0083,M,S0157,F
BAC009S0150W0206_BAC009S0660W0288,S0150,F,S0660,F
BAC009S0053W0451_BAC009S0184W0472,S0053,M,S0184,F
BAC009S0134W0483_BAC009S0218W0366,S0134,F,S0218,F
BAC009S0049W0277_BAC009S0237W0405,S0049,M,S0237,F
BAC009S0033W0402_BAC009S0143W0289,S0033,M,S0143,F
BAC009S0131W0489_BAC009S0715W0134,S0131,F,S0715,M
BAC009S0722W0140_BAC009S0363W0413,S0722,M,S0363,F
BAC009S0658W0232_BAC009S0242W0123,S0658,F,S0242,F
BAC009S0105W0373_BAC009S0251W0490,S0105,M,S0251,M
BAC009S0022W0358_BAC009S0042W0423,S0022,M,S0042,M
BAC009S0054W0429_BAC009S0148W0128,S0054,M,S0148,F
BAC009S0334W0446_BAC009S0156W0181,S0334,F,S0156,F
BAC009S0350W0215_BAC009S0702W0280,S0350,F,S0702,M
BAC009S0190W0221_BAC009S0191W0149,S0190,F,S0191,F
BAC009S0188W0409_BAC009S0247W0121,S0188,F,S0247,M
BAC009S0210W0240_BAC009S0063W0225,S0210,F,S0063,M
BAC009S0070W0174_BAC009S0149W0151,S0070,M,S0149,F
BAC009S0599W0322_BAC009S0019W0392,S0599,M,S0019,M
BAC009S0064W0181_BAC009S0190W0151,S0064,M,S0190,F
BAC009S0096W0360_BAC009S0722W0488,S0096,M,S0722,M
BAC009S0108W0357_BAC009S0024W0240,S0108,M,S0024,M
BAC009S0090W0189_BAC009S0034W0373,S0090,M,S0034,M
BAC009S0063W0171_BAC009S0105W0165,S0063,M,S0105,M
BAC009S0050W0348_BAC009S0053W0217,S0050,M,S0053,M
BAC009S0170W0272_BAC009S0421W0293,S0170,F,S0421,M
BAC009S0216W0210_BAC009S0237W0306,S0216,F,S0237,F
BAC009S0716W0225_BAC009S0101W0422,S0716,M,S0101,M
BAC009S0251W0446_BAC009S0186W0346,S0251,M,S0186,F
BAC009S0335W0467_BAC009S0230W0360,S0335,F,S0230,F
BAC009S0360W0485_BAC009S0123W0268,S0360,F,S0123,M
BAC009S0337W0141_BAC009S0025W0409,S0337,F,S0025,M
BAC009S0107W0470_BAC009S0145W0254,S0107,M,S0145,F
BAC009S0047W0377_BAC009S0100W0429,S0047,M,S0100,M
BAC009S0195W0242_BAC009S0049W0296,S0195,F,S0049,M
BAC009S0516W0165_BAC009S0019W0197,S0516,F,S0019,M
BAC009S0246W0324_BAC009S0115W0232,S0246,M,S0115,M
BAC009S0080W0440_BAC009S0118W0227,S0080,M,S0118,M
BAC009S0167W0339_BAC009S0112W0134,S0167,F,S0112,M
BAC009S0511W0188_BAC009S0141W0290,S0511,F,S0141,F
BAC009S0238W0205_BAC009S0149W0371,S0238,F,S0149,F
BAC009S0710W0491_BAC009S0204W0222,S0710,M,S0204,F
BAC009S0229W0169_BAC009S0220W0233,S0229,F,S0220,F
BAC009S0149W0165_BAC009S0072W0334,S0149,F,S0072,M
BAC009S0068W0235_BAC009S0712W0381,S0068,M,S0712,M
BAC009S0062W0143_BAC009S0050W0470,S0062,M,S0050,M
BAC009S0222W0224_BAC009S0512W0481,S0222,F,S0512,F
BAC009S0157W0215_BAC009S0046W0276,S0157,F,S0046,M
BAC009S0051W0420_BAC009S0126W0194,S0051,M,S0126,F
BAC009S0172W0197_BAC009S0100W0400,S0172,F,S0100,M
BAC009S0207W0273_BAC009S0165W0280,S0207,F,S0165,F
BAC009S0721W0261_BAC009S0023W0477,S0721,M,S0023,M
BAC009S0188W0136_BAC009S0002W0343,S0188,F,S0002,M
BAC009S0245W0159_BAC009S0599W0336,S0245,F,S0599,M
BAC009S0081W0270_BAC009S0178W0314,S0081,M,S0178,F
BAC009S0231W0272_BAC009S0339W0400,S0231,F,S0339,F
BAC009S0216W0339_BAC009S0363W0412,S0216,F,S0363,F
BAC009S0036W0493_BAC009S0043W0411,S0036,M,S0043,M
BAC009S0353W0368_BAC009S0217W0375,S0353,F,S0217,F
BAC009S0063W0307_BAC009S0051W0201,S0063,M,S0051,M
BAC009S0078W0186_BAC009S0140W0272,S0078,M,S0140,F
BAC009S0662W0253_BAC009S0223W0346,S0662,F,S0223,F
BAC009S0202W0220_BAC009S0351W0291,S0202,F,S0351,F
BAC009S0597W0226_BAC009S0511W0156,S0597,M,S0511,F
BAC009S0236W0491_BAC009S0125W0271,S0236,F,S0125,F
BAC009S0016W0378_BAC009S0599W0428,S0016,M,S0599,M
BAC009S0099W0306_BAC009S0662W0182,S0099,M,S0662,F
BAC009S0096W0389_BAC009S0124W0152,S0096,M,S0124,F
BAC009S0014W0403_BAC009S0064W0217,S0014,M,S0064,M
BAC009S0195W0349_BAC009S0421W0134,S0195,F,S0421,M
BAC009S0712W0269_BAC009S0119W0248,S0712,M,S0119,M
BAC009S0093W0162_BAC009S0704W0394,S0093,M,S0704,M
BAC009S0150W0318_BAC009S0040W0451,S0150,F,S0040,M
BAC009S0043W0493_BAC009S0188W0141,S0043,M,S0188,F
BAC009S0024W0445_BAC009S0705W0309,S0024,M,S0705,M
BAC009S0126W0156_BAC009S0100W0383,S0126,F,S0100,M
BAC009S0210W0225_BAC009S0054W0173,S0210,F,S0054,M
BAC009S0186W0310_BAC009S0205W0266,S0186,F,S0205,F
BAC009S0171W0180_BAC009S0051W0447,S0171,F,S0051,M
BAC009S0520W0205_BAC009S0002W0404,S0520,F,S0002,M
BAC009S0215W0246_BAC009S0180W0361,S0215,F,S0180,F
BAC009S0208W0204_BAC009S0178W0479,S0208,F,S0178,F
BAC009S0043W0340_BAC009S0715W0250,S0043,M,S0715,M
BAC009S0242W0456_BAC009S0081W0224,S0242,F,S0081,M
BAC009S0352W0231_BAC009S0173W0470,S0352,F,S0173,F
BAC009S0189W0320_BAC009S0044W0254,S0189,F,S0044,M
BAC009S0018W0358_BAC009S0521W0409,S0018,M,S0521,F
BAC009S0007W0126_BAC009S0027W0121,S0007,M,S0027,M
BAC009S0030W0146_BAC009S0213W0258,S0030,M,S0213,F
BAC009S0188W0156_BAC009S0050W0483,S0188,F,S0050,M
BAC009S0706W0123_BAC009S0061W0370,S0706,M,S0061,M
