mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex
BAC009S0085W0438_BAC009S0012W0170_BAC009S0347W0149,S0085,M,S0012,M,S0347,F
BAC009S0078W0165_BAC009S0172W0138_BAC009S0003W0423,S0078,M,S0172,F,S0003,M
BAC009S0122W0374_BAC009S0134W0343_BAC009S0215W0430,S0122,M,S0134,F,S0215,F
BAC009S0706W0472_BAC009S0088W0273_BAC009S0113W0130,S0706,M,S0088,M,S0113,M
BAC009S0222W0346_BAC009S0192W0181_BAC009S0711W0434,S0222,F,S0192,F,S0711,M
BAC009S0337W0321_BAC009S0516W0362_BAC009S0192W0283,S0337,F,S0516,F,S0192,F
BAC009S0230W0461_BAC009S0205W0494_BAC009S0150W0216,S0230,F,S0205,F,S0150,F
BAC009S0111W0395_BAC009S0599W0478_BAC009S0014W0347,S0111,M,S0599,M,S0014,M
BAC009S0211W0199_BAC009S0520W0449_BAC009S0351W0447,S0211,F,S0520,F,S0351,F
BAC009S0239W0149_BAC009S0220W0241_BAC009S0007W0171,S0239,F,S0220,F,S0007,M
BAC009S0511W0465_BAC009S0222W0129_BAC009S0085W0487,S0511,F,S0222,F,S0085,M
BAC009S0016W0224_BAC009S0705W0300_BAC009S0164W0475,S0016,M,S0705,M,S0164,F
BAC009S0030W0335_BAC009S0145W0455_BAC009S0019W0230,S0030,M,S0145,F,S0019,M
BAC009S0055W0185_BAC009S0032W0321_BAC009S0223W0369,S0055,M,S0032,M,S0223,F
BAC009S0229W0398_BAC009S0360W0475_BAC009S0110W0230,S0229,F,S0360,F,S0110,M
BAC009S0113W0146_BAC009S0171W0284_BAC009S0204W0398,S0113,M,S0171,F,S0204,F
BAC009S0019W0390_BAC009S0174W0356_BAC009S0219W0239,S0019,M,S0174,F,S0219,F
BAC009S0658W0144_BAC009S0141W0460_BAC009S0092W0269,S0658,F,S0141,F,S0092,M
BAC009S0164W0121_BAC009S0170W0242_BAC009S0204W0450,S0164,F,S0170,F,S0204,F
BAC009S0084W0306_BAC009S0658W0343_BAC009S0095W0121,S0084,M,S0658,F,S0095,M
BAC009S0334W0273_BAC009S0658W0368_BAC009S0014W0338,S0334,F,S0658,F,S0014,M
BAC009S0347W0419_BAC009S0121W0396_BAC009S0028W0359,S0347,F,S0121,M,S0028,M
BAC009S0190W0283_BAC009S0003W0354_BAC009S0340W0479,S0190,F,S0003,M,S0340,F
BAC009S0348W0368_BAC009S0114W0289_BAC009S0103W0432,S0348,F,S0114,M,S0103,M
BAC009S0043W0208_BAC009S0222W0206_BAC009S0138W0323,S0043,M,S0222,F,S0138,F
BAC009S0068W0231_BAC009S0338W0212_BAC009S0163W0478,S0068,M,S0338,F,S0163,F
BAC009S0252W0125_BAC009S0098W0245_BAC009S0153W0233,S0252,M,S0098,M,S0153,F
BAC009S0705W0370_BAC009S0360W0458_BAC009S0249W0271,S0705,M,S0360,F,S0249,M
BAC009S0187W0203_BAC009S0045W0198_BAC009S0114W0215,S0187,F,S0045,M,S0114,M
BAC009S0185W0200_BAC009S0192W0132_BAC009S0081W0199,S0185,F,S0192,F,S0081,M
BAC009S0036W0217_BAC009S0711W0121_BAC009S0072W0214,S0036,M,S0711,M,S0072,M
BAC009S0714W0442_BAC009S0032W0234_BAC009S0197W0417,S0714,M,S0032,M,S0197,F
BAC009S0058W0153_BAC009S0210W0235_BAC009S0018W0317,S0058,M,S0210,F,S0018,M
BAC009S0512W0191_BAC009S0348W0137_BAC009S0115W0381,S0512,F,S0348,F,S0115,M
BAC009S0358W0194_BAC009S0214W0346_BAC009S0241W0460,S0358,F,S0214,F,S0241,F
BAC009S0246W0155_BAC009S0039W0391_BAC009S0020W0392,S0246,M,S0039,M,S0020,M
BAC009S0358W0377_BAC009S0140W0295_BAC009S0082W0253,S0358,F,S0140,F,S0082,M
BAC009S0105W0463_BAC009S0020W0401_BAC009S0360W0275,S0105,M,S0020,M,S0360,F
BAC009S0655W0306_BAC009S0054W0390_BAC009S0055W0436,S0655,F,S0054,M,S0055,M
BAC009S0096W0249_BAC009S0185W0199_BAC009S0106W0307,S0096,M,S0185,F,S0106,M
BAC009S0208W0400_BAC009S0226W0209_BAC009S0703W0243,S0208,F,S0226,F,S0703,M
BAC009S0042W0123_BAC009S0056W0227_BAC009S0362W0440,S0042,M,S0056,M,S0362,F
BAC009S0059W0424_BAC009S0035W0125_BAC009S0216W0266,S0059,M,S0035,M,S0216,F
BAC009S0144W0156_BAC009S0091W0243_BAC009S0246W0458,S0144,F,S0091,M,S0246,M
BAC009S0715W0165_BAC009S0023W0244_BAC009S0120W0488,S0715,M,S0023,M,S0120,M
BAC009S0719W0194_BAC009S0095W0203_BAC009S0233W0191,S0719,M,S0095,M,S0233,F
BAC009S0519W0491_BAC009S0092W0194_BAC009S0235W0400,S0519,F,S0092,M,S0235,F
BAC009S0158W0284_BAC009S0061W0386_BAC009S0152W0456,S0158,F,S0061,M,S0152,F
BAC009S0008W0209_BAC009S0707W0438_BAC009S0200W0138,S0008,M,S0707,M,S0200,F
BAC009S0114W0254_BAC009S0181W0184_BAC009S0207W0332,S0114,M,S0181,F,S0207,F
BAC009S0060W0133_BAC009S0146W0194_BAC009S0661W0303,S0060,M,S0146,F,S0661,F
BAC009S0146W0249_BAC009S0156W0369_BAC009S0221W0369,S0146,F,S0156,F,S0221,F
BAC009S0197W0426_BAC009S0660W0408_BAC009S0114W0244,S0197,F,S0660,F,S0114,M
BAC009S0207W0481_BAC009S0519W0141_BAC009S0240W0346,S0207,F,S0519,F,S0240,F
BAC009S0194W0468_BAC009S0038W0365_BAC009S0248W0354,S0194,F,S0038,M,S0248,M
BAC009S0073W0410_BAC009S0111W0263_BAC009S0161W0293,S0073,M,S0111,M,S0161,F
BAC009S0344W0375_BAC009S0709W0241_BAC009S0707W0224,S0344,F,S0709,M,S0707,M
BAC009S0356W0457_BAC009S0188W0287_BAC009S0212W0484,S0356,F,S0188,F,S0212,F
BAC009S0656W0303_BAC009S0141W0444_BAC009S0713W0372,S0656,F,S0141,F,S0713,M
BAC009S0132W0249_BAC009S0515W0249_BAC009S0706W0474,S0132,F,S0515,F,S0706,M
BAC009S0082W0298_BAC009S0356W0364_BAC009S0229W0349,S0082,M,S0356,F,S0229,F
BAC009S0221W0392_BAC009S0664W0188_BAC009S0032W0381,S0221,F,S0664,F,S0032,M
BAC009S0070W0422_BAC009S0109W0326_BAC009S0176W0207,S0070,M,S0109,M,S0176,F
BAC009S0123W0344_BAC009S0061W0478_BAC009S0204W0353,S0123,M,S0061,M,S0204,F
BAC009S0233W0421_BAC009S0198W0390_BAC009S0337W0233,S0233,F,S0198,F,S0337,F
BAC009S0056W0287_BAC009S0046W0278_BAC009S0020W0188,S0056,M,S0046,M,S0020,M
BAC009S0086W0252_BAC009S0048W0143_BAC009S0512W0335,S0086,M,S0048,M,S0512,F
BAC009S0247W0127_BAC009S0030W0341_BAC009S0053W0206,S0247,M,S0030,M,S0053,M
BAC009S0138W0409_BAC009S0241W0197_BAC009S0117W0256,S0138,F,S0241,F,S0117,M
BAC009S0116W0440_BAC009S0218W0465_BAC009S0423W0126,S0116,M,S0218,F,S0423,M
BAC009S0014W0385_BAC009S0713W0221_BAC009S0143W0230,S0014,M,S0713,M,S0143,F
BAC009S0032W0159_BAC009S0136W0348_BAC009S0074W0310,S0032,M,S0136,F,S0074,M
BAC009S0054W0190_BAC009S0241W0237_BAC009S0037W0406,S0054,M,S0241,F,S0037,M
BAC009S0174W0338_BAC009S0049W0174_BAC009S0202W0456,S0174,F,S0049,M,S0202,F
BAC009S0061W0230_BAC009S0198W0202_BAC009S0064W0132,S0061,M,S0198,F,S0064,M
BAC009S0035W0452_BAC009S0120W0275_BAC009S0141W0455,S0035,M,S0120,M,S0141,F
BAC009S0127W0330_BAC009S0252W0363_BAC009S0206W0206,S0127,F,S0252,M,S0206,F
BAC009S0522W0446_BAC009S0598W0205_BAC009S0221W0427,S0522,F,S0598,M,S0221,F
BAC009S0002W0133_BAC009S0665W0464_BAC009S0659W0437,S0002,M,S0665,F,S0659,F
BAC009S0142W0323_BAC009S0341W0194_BAC009S0655W0447,S0142,F,S0341,F,S0655,F
BAC009S0177W0159_BAC009S0154W0167_BAC009S0048W0155,S0177,F,S0154,F,S0048,M
BAC009S0172W0458_BAC009S0723W0229_BAC009S0206W0373,S0172,F,S0723,M,S0206,F
BAC009S0196W0405_BAC009S0252W0436_BAC009S0130W0240,S0196,F,S0252,M,S0130,F
BAC009S0159W0402_BAC009S0176W0257_BAC009S0251W0433,S0159,F,S0176,F,S0251,M
BAC009S0194W0321_BAC009S0164W0404_BAC009S0233W0230,S0194,F,S0164,F,S0233,F
BAC009S0340W0356_BAC009S0356W0356_BAC009S0230W0335,S0340,F,S0356,F,S0230,F
BAC009S0148W0433_BAC009S0710W0399_BAC009S0014W0141,S0148,F,S0710,M,S0014,M
BAC009S0163W0122_BAC009S0358W0206_BAC009S0665W0204,S0163,F,S0358,F,S0665,F
BAC009S0024W0154_BAC009S0205W0232_BAC009S0103W0409,S0024,M,S0205,F,S0103,M
BAC009S0202W0249_BAC009S0249W0495_BAC009S0203W0184,S0202,F,S0249,M,S0203,F
BAC009S0251W0353_BAC009S0004W0141_BAC009S0090W0190,S0251,M,S0004,M,S0090,M
BAC009S0034W0272_BAC009S0158W0245_BAC009S0114W0170,S0034,M,S0158,F,S0114,M
BAC009S0248W0352_BAC009S0133W0494_BAC009S0120W0131,S0248,M,S0133,F,S0120,M
BAC009S0058W0282_BAC009S0112W0132_BAC009S0102W0238,S0058,M,S0112,M,S0102,M
BAC009S0517W0145_BAC009S0662W0217_BAC009S0110W0168,S0517,F,S0662,F,S0110,M
BAC009S0518W0323_BAC009S0146W0260_BAC009S0063W0452,S0518,F,S0146,F,S0063,M
BAC009S0233W0351_BAC009S0178W0202_BAC009S0722W0394,S0233,F,S0178,F,S0722,M
BAC009S0114W0340_BAC009S0137W0318_BAC009S0083W0127,S0114,M,S0137,F,S0083,M
BAC009S0132W0231_BAC009S0231W0458_BAC009S0017W0489,S0132,F,S0231,F,S0017,M
BAC009S0192W0268_BAC009S0232W0338_BAC009S0052W0275,S0192,F,S0232,F,S0052,M
BAC009S0510W0205_BAC009S0128W0436_BAC009S0042W0425,S0510,F,S0128,F,S0042,M
BAC009S0033W0365_BAC009S0140W0368_BAC009S0036W0319,S0033,M,S0140,F,S0036,M
BAC009S0021W0337_BAC009S0112W0125_BAC009S0666W0351,S0021,M,S0112,M,S0666,F
BAC009S0199W0265_BAC009S0666W0205_BAC009S0066W0316,S0199,F,S0666,F,S0066,M
BAC009S0354W0181_BAC009S0200W0380_BAC009S0118W0245,S0354,F,S0200,F,S0118,M
BAC009S0345W0437_BAC009S0120W0373_BAC009S0339W0435,S0345,F,S0120,M,S0339,F
BAC009S0197W0443_BAC009S0342W0359_BAC009S0349W0305,S0197,F,S0342,F,S0349,F
BAC009S0705W0474_BAC009S0082W0195_BAC009S0516W0476,S0705,M,S0082,M,S0516,F
BAC009S0139W0207_BAC009S0165W0463_BAC009S0655W0464,S0139,F,S0165,F,S0655,F
BAC009S0702W0372_BAC009S0228W0289_BAC009S0601W0262,S0702,M,S0228,F,S0601,M
BAC009S0137W0180_BAC009S0228W0475_BAC009S0359W0231,S0137,F,S0228,F,S0359,F
BAC009S0147W0228_BAC009S0239W0415_BAC009S0012W0440,S0147,F,S0239,F,S0012,M
BAC009S0172W0310_BAC009S0722W0375_BAC009S0358W0369,S0172,F,S0722,M,S0358,F
BAC009S0209W0287_BAC009S0146W0232_BAC009S0059W0164,S0209,F,S0146,F,S0059,M
BAC009S0336W0401_BAC009S0092W0285_BAC009S0016W0226,S0336,F,S0092,M,S0016,M
BAC009S0516W0432_BAC009S0341W0453_BAC009S0710W0456,S0516,F,S0341,F,S0710,M
BAC009S0024W0327_BAC009S0659W0172_BAC009S0148W0314,S0024,M,S0659,F,S0148,F
BAC009S0361W0407_BAC009S0713W0260_BAC009S0009W0186,S0361,F,S0713,M,S0009,M
BAC009S0038W0314_BAC009S0338W0400_BAC009S0041W0314,S0038,M,S0338,F,S0041,M
BAC009S0150W0145_BAC009S0156W0166_BAC009S0203W0135,S0150,F,S0156,F,S0203,F
BAC009S0041W0384_BAC009S0173W0379_BAC009S0243W0352,S0041,M,S0173,F,S0243,F
BAC009S0183W0123_BAC009S0236W0242_BAC009S0243W0441,S0183,F,S0236,F,S0243,F
BAC009S0523W0386_BAC009S0117W0240_BAC009S0219W0169,S0523,F,S0117,M,S0219,F
BAC009S0020W0318_BAC009S0658W0435_BAC009S0226W0410,S0020,M,S0658,F,S0226,F
BAC009S0013W0311_BAC009S0232W0215_BAC009S0229W0306,S0013,M,S0232,F,S0229,F
BAC009S0342W0151_BAC009S0116W0121_BAC009S0510W0132,S0342,F,S0116,M,S0510,F
BAC009S0087W0392_BAC009S0120W0168_BAC009S0007W0321,S0087,M,S0120,M,S0007,M
BAC009S0017W0360_BAC009S0059W0188_BAC009S0231W0329,S0017,M,S0059,M,S0231,F
BAC009S0160W0432_BAC009S0222W0232_BAC009S0059W0196,S0160,F,S0222,F,S0059,M
BAC009S0103W0146_BAC009S0704W0432_BAC009S0108W0375,S0103,M,S0704,M,S0108,M
BAC009S0110W0163_BAC009S0078W0290_BAC009S0198W0178,S0110,M,S0078,M,S0198,F
BAC009S0173W0237_BAC009S0002W0428_BAC009S0167W0361,S0173,F,S0002,M,S0167,F
BAC009S0021W0482_BAC009S0204W0475_BAC009S0013W0370,S0021,M,S0204,F,S0013,M
BAC009S0363W0363_BAC009S0046W0205_BAC009S0176W0362,S0363,F,S0046,M,S0176,F
BAC009S0231W0229_BAC009S0126W0143_BAC009S0511W0408,S0231,F,S0126,F,S0511,F
BAC009S0705W0469_BAC009S0067W0319_BAC009S0014W0207,S0705,M,S0067,M,S0014,M
BAC009S0251W0239_BAC009S0098W0144_BAC009S0075W0443,S0251,M,S0098,M,S0075,M
BAC009S0068W0154_BAC009S0716W0457_BAC009S0193W0197,S0068,M,S0716,M,S0193,F
BAC009S0352W0466_BAC009S0339W0153_BAC009S0216W0484,S0352,F,S0339,F,S0216,F
BAC009S0165W0404_BAC009S0148W0208_BAC009S0140W0172,S0165,F,S0148,F,S0140,F
BAC009S0349W0254_BAC009S0358W0142_BAC009S0157W0446,S0349,F,S0358,F,S0157,F
BAC009S0091W0124_BAC009S0013W0449_BAC009S0704W0447,S0091,M,S0013,M,S0704,M
BAC009S0143W0240_BAC009S0655W0237_BAC009S0053W0173,S0143,F,S0655,F,S0053,M
BAC009S0036W0327_BAC009S0703W0213_BAC009S0076W0385,S0036,M,S0703,M,S0076,M
BAC009S0666W0301_BAC009S0039W0474_BAC009S0601W0293,S0666,F,S0039,M,S0601,M
BAC009S0205W0203_BAC009S0166W0154_BAC009S0658W0195,S0205,F,S0166,F,S0658,F
BAC009S0020W0332_BAC009S0062W0480_BAC009S0036W0468,S0020,M,S0062,M,S0036,M
BAC009S0215W0370_BAC009S0353W0308_BAC009S0121W0165,S0215,F,S0353,F,S0121,M
BAC009S0208W0421_BAC009S0229W0270_BAC009S0206W0156,S0208,F,S0229,F,S0206,F
BAC009S0075W0302_BAC009S0156W0210_BAC009S0092W0191,S0075,M,S0156,F,S0092,M
BAC009S0142W0454_BAC009S0340W0381_BAC009S0245W0390,S0142,F,S0340,F,S0245,F
BAC009S0192W0126_BAC009S0357W0317_BAC009S0174W0283,S0192,F,S0357,F,S0174,F
BAC009S0017W0343_BAC009S0222W0452_BAC009S0520W0196,S0017,M,S0222,F,S0520,F
BAC009S0226W0202_BAC009S0519W0330_BAC009S0059W0331,S0226,F,S0519,F,S0059,M
BAC009S0145W0201_BAC009S0019W0122_BAC009S0061W0450,S0145,F,S0019,M,S0061,M
BAC009S0017W0478_BAC009S0215W0171_BAC009S0100W0300,S0017,M,S0215,F,S0100,M
BAC009S0099W0121_BAC009S0036W0316_BAC009S0162W0335,S0099,M,S0036,M,S0162,F
BAC009S0116W0415_BAC009S0214W0462_BAC009S0357W0455,S0116,M,S0214,F,S0357,F
BAC009S0122W0281_BAC009S0658W0121_BAC009S0598W0168,S0122,M,S0658,F,S0598,M
BAC009S0106W0340_BAC009S0051W0340_BAC009S0108W0162,S0106,M,S0051,M,S0108,M
BAC009S0356W0264_BAC009S0135W0369_BAC009S0194W0132,S0356,F,S0135,F,S0194,F
BAC009S0172W0346_BAC009S0024W0235_BAC009S0709W0215,S0172,F,S0024,M,S0709,M
BAC009S0121W0343_BAC009S0096W0493_BAC009S0596W0458,S0121,M,S0096,M,S0596,M
BAC009S0089W0251_BAC009S0359W0171_BAC009S0212W0254,S0089,M,S0359,F,S0212,F
BAC009S0064W0320_BAC009S0351W0493_BAC009S0137W0222,S0064,M,S0351,F,S0137,F
BAC009S0513W0338_BAC009S0015W0216_BAC009S0180W0173,S0513,F,S0015,M,S0180,F
BAC009S0662W0308_BAC009S0356W0178_BAC009S0659W0476,S0662,F,S0356,F,S0659,F
BAC009S0069W0203_BAC009S0717W0415_BAC009S0520W0203,S0069,M,S0717,M,S0520,F
BAC009S0072W0454_BAC009S0198W0373_BAC009S0659W0132,S0072,M,S0198,F,S0659,F
BAC009S0015W0370_BAC009S0702W0234_BAC009S0220W0124,S0015,M,S0702,M,S0220,F
BAC009S0093W0225_BAC009S0351W0186_BAC009S0134W0464,S0093,M,S0351,F,S0134,F
BAC009S0199W0148_BAC009S0515W0201_BAC009S0336W0286,S0199,F,S0515,F,S0336,F
BAC009S0054W0423_BAC009S0243W0286_BAC009S0218W0202,S0054,M,S0243,F,S0218,F
BAC009S0076W0167_BAC009S0209W0222_BAC009S0356W0481,S0076,M,S0209,F,S0356,F
BAC009S0714W0232_BAC009S0212W0145_BAC009S0189W0325,S0714,M,S0212,F,S0189,F
BAC009S0208W0493_BAC009S0091W0489_BAC009S0180W0357,S0208,F,S0091,M,S0180,F
BAC009S0068W0271_BAC009S0714W0257_BAC009S0087W0186,S0068,M,S0714,M,S0087,M
BAC009S0089W0239_BAC009S0363W0373_BAC009S0126W0453,S0089,M,S0363,F,S0126,F
BAC009S0019W0211_BAC009S0345W0442_BAC009S0714W0167,S0019,M,S0345,F,S0714,M
BAC009S0222W0394_BAC009S0225W0475_BAC009S0513W0283,S0222,F,S0225,F,S0513,F
